"Module","Page","FrontendPageExists","BackendRouteExists","ControllerCrudComplete","ApiCalls","ApiMappedCorrectly","ToastFeedback","LoadingState","EmptyState","PermissionConfigured","MatchedControllers","MissingApiCalls"
"customers","frontend/src/pages/orcamentos/QuoteCreatePage.tsx","OK","OK","OK","5","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\Customer\CustomerMergeController.php; backend\app\Http\Controllers\Api\V1\Master\ProductController.php; backend\app\Http\Controllers\Api\V1\Master\ServiceController.php; backend\app\Http\Controllers\Api\V1\QuoteController.php",""
"dashboard-stats","frontend/src/pages/DashboardPage.tsx","OK","OK","NOK","1","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\DashboardController.php",""
"equipments","frontend/src/pages/chamados/ServiceCallCreatePage.tsx","OK","OK","OK","4","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\EquipmentController.php; backend\app\Http\Controllers\Api\V1\ServiceCallController.php","GET /service-calls-assignees"
"equipments","frontend/src/pages/equipamentos/EquipmentDetailPage.tsx","OK","OK","OK","4","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\EquipmentController.php; backend\app\Http\Controllers\Api\V1\PdfController.php","GET /standard-weights"
"equipments-alerts","frontend/src/pages/equipamentos/EquipmentCalendarPage.tsx","OK","OK","OK","1","OK","NOK","NOK","OK","OK","backend\app\Http\Controllers\Api\V1\EquipmentController.php",""
"equipments-constants","frontend/src/pages/equipamentos/EquipmentCreatePage.tsx","OK","OK","OK","3","OK","OK","NOK","NOK","OK","backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\EquipmentController.php",""
"equipments-constants","frontend/src/pages/equipamentos/EquipmentListPage.tsx","OK","OK","OK","3","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\EquipmentController.php",""
"expenses","frontend/src/pages/financeiro/ExpensesPage.tsx","OK","OK","OK","17","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Financial\ExpenseController.php; backend\app\Http\Controllers\Api\V1\ChartOfAccountController.php; backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php",""
"fiscal","frontend/src/pages/fiscal/FiscalNotesPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","NOK","","GET /fiscal/notas/:id/pdf; GET /fiscal/notas; GET /fiscal/notas/:id/xml; POST /fiscal/notas/:id/cancelar"
"frontend/src/pages/cadastros/customer360","frontend/src/pages/cadastros/Customer360Page.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","OK","",""
"frontend/src/pages/crm","frontend/src/pages/CrmDashboardPage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","OK","NOK","",""
"frontend/src/pages/crm-pipeline","frontend/src/pages/CrmPipelinePage.tsx","OK","NOK","NOK","0","NOK","OK","OK","NOK","NOK","",""
"frontend/src/pages/emails/email","frontend/src/pages/emails/EmailComposePage.tsx","OK","NOK","NOK","0","NOK","OK","NOK","NOK","NOK","",""
"frontend/src/pages/emails/email","frontend/src/pages/emails/EmailInboxPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/emails/email","frontend/src/pages/emails/EmailSettingsPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/estoque/batch","frontend/src/pages/estoque/BatchManagementPage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","OK","NOK","",""
"frontend/src/pages/financeiro/fueling-logs","frontend/src/pages/financeiro/FuelingLogsPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","OK","",""
"frontend/src/pages/fleet/fleet","frontend/src/pages/fleet/FleetPage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","NOK","NOK","",""
"frontend/src/pages/ia/aianalytics","frontend/src/pages/ia/AIAnalyticsPage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","OK","NOK","",""
"frontend/src/pages/inmetro/inmetro","frontend/src/pages/inmetro/InmetroDashboardPage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","OK","NOK","",""
"frontend/src/pages/inmetro/inmetro-competitor","frontend/src/pages/inmetro/InmetroCompetitorPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/inmetro/inmetro-competitors","frontend/src/pages/inmetro/InmetroCompetitorsPage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","OK","NOK","",""
"frontend/src/pages/inmetro/inmetro-compliance","frontend/src/pages/inmetro/InmetroCompliancePage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/inmetro/inmetro-executive","frontend/src/pages/inmetro/InmetroExecutivePage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","OK","NOK","",""
"frontend/src/pages/inmetro/inmetro-import","frontend/src/pages/inmetro/InmetroImportPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","NOK","OK","",""
"frontend/src/pages/inmetro/inmetro-map","frontend/src/pages/inmetro/InmetroMapPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","OK","",""
"frontend/src/pages/inmetro/inmetro-market","frontend/src/pages/inmetro/InmetroMarketPage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","NOK","NOK","",""
"frontend/src/pages/inmetro/inmetro-owner","frontend/src/pages/inmetro/InmetroOwnerDetailPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","OK","",""
"frontend/src/pages/inmetro/inmetro-prospection","frontend/src/pages/inmetro/InmetroProspectionPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/inmetro/inmetro-webhooks","frontend/src/pages/inmetro/InmetroWebhooksPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/integracao/auvo-import","frontend/src/pages/integracao/AuvoImportPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","NOK","NOK","",""
"frontend/src/pages/login","frontend/src/pages/LoginPage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","NOK","NOK","",""
"frontend/src/pages/message-templates","frontend/src/pages/MessageTemplatesPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/portal/portal-login","frontend/src/pages/portal/PortalLoginPage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","NOK","NOK","",""
"frontend/src/pages/rh/benefits","frontend/src/pages/rh/BenefitsPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/rh/org-chart","frontend/src/pages/rh/OrgChartPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/rh/performance-review","frontend/src/pages/rh/PerformanceReviewDetailPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","NOK","NOK","",""
"frontend/src/pages/rh/recruitment","frontend/src/pages/rh/RecruitmentPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/rh/skills","frontend/src/pages/rh/SkillsMatrixPage.tsx","OK","NOK","NOK","0","NOK","OK","OK","OK","NOK","",""
"frontend/src/pages/tech/tech","frontend/src/pages/tech/TechProfilePage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","NOK","NOK","",""
"frontend/src/pages/tech/tech","frontend/src/pages/tech/TechSettingsPage.tsx","OK","NOK","NOK","0","NOK","OK","NOK","NOK","OK","",""
"frontend/src/pages/tech/tech-barcode","frontend/src/pages/tech/TechBarcodePage.tsx","OK","NOK","NOK","0","NOK","OK","NOK","NOK","NOK","",""
"frontend/src/pages/tech/tech-bluetooth-print","frontend/src/pages/tech/TechBluetoothPrintPage.tsx","OK","NOK","NOK","0","NOK","OK","NOK","OK","NOK","",""
"frontend/src/pages/tech/tech-chat","frontend/src/pages/tech/TechChatPage.tsx","OK","NOK","NOK","0","NOK","NOK","OK","OK","NOK","",""
"frontend/src/pages/tech/tech-check","frontend/src/pages/tech/TechChecklistPage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","OK","NOK","",""
"frontend/src/pages/tech/tech-expense","frontend/src/pages/tech/TechExpensePage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","OK","NOK","",""
"frontend/src/pages/tech/tech-photo-annotation","frontend/src/pages/tech/TechPhotoAnnotationPage.tsx","OK","NOK","NOK","0","NOK","OK","NOK","OK","NOK","",""
"frontend/src/pages/tech/tech-photos","frontend/src/pages/tech/TechPhotosPage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","OK","NOK","",""
"frontend/src/pages/tech/tech-signature","frontend/src/pages/tech/TechSignaturePage.tsx","OK","NOK","NOK","0","NOK","NOK","NOK","NOK","NOK","",""
"frontend/src/pages/tech/tech-thermal-camera","frontend/src/pages/tech/TechThermalCameraPage.tsx","OK","NOK","NOK","0","NOK","OK","NOK","OK","NOK","",""
"frontend/src/pages/tech/tech-voice-report","frontend/src/pages/tech/TechVoiceReportPage.tsx","OK","NOK","NOK","0","NOK","OK","NOK","OK","NOK","",""
"fund-transfers","frontend/src/pages/financeiro/FundTransfersPage.tsx","OK","NOK","NOK","6","NOK","OK","OK","OK","OK","","GET /fund-transfers/summary; POST /fund-transfers; GET /technicians/options; GET /bank-accounts; POST /fund-transfers/:id/cancel; GET /fund-transfers"
"hr","frontend/src/pages/rh/AccountingReportsPage.tsx","OK","NOK","NOK","2","NOK","OK","OK","NOK","NOK","","GET /hr/reports/accounting/export; GET /hr/reports/accounting"
"hr","frontend/src/pages/rh/ClockAdjustmentsPage.tsx","OK","NOK","NOK","3","NOK","OK","OK","OK","OK","","GET /hr/adjustments; POST /hr/adjustments/:id/approve; POST /hr/adjustments/:id/reject"
"hr","frontend/src/pages/rh/ClockInPage.tsx","OK","NOK","NOK","3","NOK","OK","OK","NOK","NOK","","POST /hr/advanced/clock-out; POST /hr/advanced/clock-in; GET /hr/advanced/clock/status"
"hr","frontend/src/pages/rh/EmployeeDocumentsPage.tsx","OK","NOK","NOK","5","NOK","OK","OK","OK","OK","","GET /hr/documents/expiring; GET /technicians/options; POST /hr/documents; DELETE /hr/documents/:id; GET /hr/documents"
"hr","frontend/src/pages/rh/GeofenceLocationsPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","OK","","PUT /hr/geofences/:id; POST /hr/geofences; DELETE /hr/geofences/:id; GET /hr/geofences"
"hr","frontend/src/pages/rh/HolidaysPage.tsx","OK","NOK","NOK","5","NOK","OK","OK","OK","OK","","GET /hr/holidays; POST /hr/holidays/import-national; PUT /hr/holidays/:id; POST /hr/holidays; DELETE /hr/holidays/:id"
"hr","frontend/src/pages/rh/HRPage.tsx","OK","OK","OK","5","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Iam\UserController.php","GET /hr/clock/all; GET /hr/dashboard; GET /hr/trainings; GET /hr/schedules"
"hr","frontend/src/pages/rh/JourneyPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","OK","","POST /hr/journey/calculate; GET /technicians/options; GET /hr/journey/entries; GET /hr/hour-bank/balance"
"hr","frontend/src/pages/rh/JourneyRulesPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","OK","","DELETE /hr/journey-rules/:id; POST /hr/journey-rules; PUT /hr/journey-rules/:id; GET /hr/journey-rules"
"hr","frontend/src/pages/rh/LeavesPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","OK","","POST /hr/leaves/:id/reject; POST /hr/leaves; GET /hr/leaves; POST /hr/leaves/:id/approve"
"hr","frontend/src/pages/rh/OnboardingPage.tsx","OK","NOK","NOK","6","NOK","OK","OK","OK","OK","","POST /hr/onboarding/templates; GET /hr/onboarding/checklists; GET /technicians/options; GET /hr/onboarding/templates; POST /hr/onboarding/start; POST /hr/onboarding/items/:id/complete"
"hr","frontend/src/pages/rh/PeopleAnalyticsPage.tsx","OK","NOK","NOK","1","NOK","NOK","OK","NOK","NOK","","GET /hr/analytics/dashboard"
"hr","frontend/src/pages/rh/RecruitmentKanbanPage.tsx","OK","NOK","NOK","3","NOK","OK","OK","NOK","OK","","POST /hr/job-postings/:id/candidates; PUT /hr/candidates/:id; GET /hr/job-postings/:id"
"hr","frontend/src/pages/rh/VacationBalancePage.tsx","OK","NOK","NOK","1","NOK","NOK","OK","OK","NOK","","GET /hr/vacation-balances"
"import","frontend/src/pages/importacao/ImportPage.tsx","OK","OK","NOK","14","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\ImportController.php",""
"inmetro","frontend/src/pages/inmetro/InmetroInstrumentsPage.tsx","OK","NOK","NOK","1","NOK","OK","OK","OK","OK","","GET /inmetro/export/instruments"
"inmetro","frontend/src/pages/inmetro/InmetroLeadsPage.tsx","OK","NOK","NOK","1","NOK","OK","OK","OK","OK","","GET /inmetro/export/leads"
"inventory","frontend/src/pages/estoque/InventoryCreatePage.tsx","OK","NOK","NOK","2","NOK","OK","OK","NOK","NOK","","POST /inventory/inventories; GET /inventory/warehouses"
"inventory","frontend/src/pages/estoque/InventoryExecutionPage.tsx","OK","NOK","NOK","3","NOK","OK","OK","OK","NOK","","POST /inventory/inventories/:id/complete; GET /inventory/inventories/:id; PUT /inventory/inventories/:id/items/:id"
"inventory","frontend/src/pages/estoque/InventoryListPage.tsx","OK","NOK","NOK","2","NOK","NOK","OK","OK","NOK","","GET /inventory/inventories; GET /inventory/warehouses"
"inventory","frontend/src/pages/inmetro/InmetroSealReportPage.tsx","OK","NOK","NOK","3","NOK","OK","OK","OK","NOK","","GET /inventory/seals/audit; GET /inventory/seals/export; GET /inventory/seals"
"inventory","frontend/src/pages/tech/TechSealsPage.tsx","OK","NOK","NOK","3","NOK","OK","OK","OK","NOK","","GET /inventory/seals/my; GET /tech/os/:id; POST /inventory/seals/:id/use"
"invoices","frontend/src/pages/financeiro/InvoicesPage.tsx","OK","OK","OK","6","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\InvoiceController.php",""
"notifications","frontend/src/pages/notificacoes/NotificationsPage.tsx","OK","OK","NOK","3","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\NotificationController.php",""
"payment-methods","frontend/src/pages/financeiro/PaymentMethodsPage.tsx","OK","OK","OK","4","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\PaymentMethodController.php",""
"payments","frontend/src/pages/financeiro/PaymentsPage.tsx","OK","OK","NOK","3","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Financial\PaymentController.php",""
"permissions","frontend/src/pages/iam/PermissionsMatrixPage.tsx","OK","OK","OK","3","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Iam\PermissionController.php; backend\app\Http\Controllers\Api\V1\Iam\RoleController.php",""
"portal","frontend/src/pages/portal/PortalDashboardPage.tsx","OK","OK","NOK","3","OK","NOK","NOK","OK","NOK","backend\app\Http\Controllers\Api\V1\Portal\PortalController.php",""
"portal","frontend/src/pages/portal/PortalFinancialsPage.tsx","OK","OK","NOK","1","OK","NOK","OK","OK","NOK","backend\app\Http\Controllers\Api\V1\Portal\PortalController.php",""
"portal","frontend/src/pages/portal/PortalQuotesPage.tsx","OK","OK","NOK","2","OK","OK","OK","OK","NOK","backend\app\Http\Controllers\Api\V1\Portal\PortalController.php",""
"portal","frontend/src/pages/portal/PortalServiceCallPage.tsx","OK","OK","NOK","1","OK","OK","NOK","NOK","NOK","backend\app\Http\Controllers\Api\V1\Portal\PortalController.php",""
"portal","frontend/src/pages/portal/PortalWorkOrdersPage.tsx","OK","OK","NOK","1","OK","NOK","OK","OK","NOK","backend\app\Http\Controllers\Api\V1\Portal\PortalController.php",""
"price-history","frontend/src/pages/cadastros/PriceHistoryPage.tsx","OK","OK","NOK","1","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\PriceHistoryController.php",""
"products","frontend/src/pages/cadastros/ProductsPage.tsx","OK","OK","OK","6","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\ProductController.php",""
"profile","frontend/src/pages/configuracoes/ProfilePage.tsx","OK","OK","NOK","3","OK","OK","OK","NOK","NOK","backend\app\Http\Controllers\Api\V1\UserController.php",""
"quality","frontend/src/pages/qualidade/QualityPage.tsx","OK","NOK","NOK","6","NOK","NOK","OK","OK","NOK","","GET /quality/surveys; GET /quality/complaints; GET /quality/nps; GET /quality/dashboard; GET /quality/corrective-actions; GET /quality/procedures"
"quote-items","frontend/src/pages/orcamentos/QuoteEditPage.tsx","OK","OK","OK","7","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\QuoteController.php; backend\app\Http\Controllers\Api\V1\Master\ProductController.php; backend\app\Http\Controllers\Api\V1\Master\ServiceController.php",""
"quotes","frontend/src/pages/orcamentos/QuoteDetailPage.tsx","OK","OK","OK","9","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\QuoteController.php; backend\app\Http\Controllers\Api\V1\PdfController.php",""
"quotes","frontend/src/pages/orcamentos/QuotesListPage.tsx","OK","OK","OK","9","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\QuoteController.php",""
"reconciliation-rules","frontend/src/pages/financeiro/ReconciliationRulesPage.tsx","OK","NOK","NOK","6","NOK","OK","OK","OK","NOK","","PUT /reconciliation-rules/:id; DELETE /reconciliation-rules/:id; POST /reconciliation-rules/test; POST /reconciliation-rules; POST /reconciliation-rules/:id/toggle; GET /reconciliation-rules"
"recurring-contracts","frontend/src/pages/os/RecurringContractsPage.tsx","OK","OK","OK","6","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Os\RecurringContractController.php; backend\app\Http\Controllers\Api\V1\Master\CustomerController.php",""
"reports","frontend/src/pages/relatorios/ReportsPage.tsx","OK","OK","NOK","1","OK","NOK","OK","OK","NOK","backend\app\Http\Controllers\Api\V1\PdfController.php",""
"roles","frontend/src/pages/iam/RolesPage.tsx","OK","OK","OK","7","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Iam\RoleController.php; backend\app\Http\Controllers\Api\V1\Iam\PermissionController.php",""
"schedules","frontend/src/pages/tecnicos/SchedulesPage.tsx","OK","OK","OK","8","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Technician\ScheduleController.php; backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php","GET /technicians/options; GET /technician/schedules/conflicts"
"service-calls","frontend/src/pages/chamados/ServiceCallDetailPage.tsx","OK","OK","OK","7","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\ServiceCallController.php","GET /service-calls-assignees"
"service-calls","frontend/src/pages/chamados/ServiceCallEditPage.tsx","OK","OK","OK","5","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\EquipmentController.php; backend\app\Http\Controllers\Api\V1\ServiceCallController.php","GET /service-calls-assignees"
"service-calls","frontend/src/pages/chamados/ServiceCallsPage.tsx","OK","OK","OK","4","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\ServiceCallController.php",""
"service-calls","frontend/src/pages/chamados/TechnicianAgendaPage.tsx","OK","OK","OK","2","NOK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\ServiceCallController.php","GET /service-calls-assignees"
"service-calls-map","frontend/src/pages/chamados/ServiceCallMapPage.tsx","OK","OK","OK","1","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\ServiceCallController.php",""
"service-checklists","frontend/src/pages/os/ServiceChecklistsPage.tsx","OK","OK","OK","4","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\ServiceChecklistController.php",""
"services","frontend/src/pages/cadastros/ServicesPage.tsx","OK","OK","OK","6","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\ServiceController.php",""
"settings","frontend/src/pages/configuracoes/SettingsPage.tsx","OK","OK","NOK","5","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\AuditLogController.php; backend\app\Http\Controllers\Api\V1\SettingsController.php","GET /numbering-sequences; PUT /numbering-sequences/:id"
"sla-dashboard","frontend/src/pages/os/SlaDashboardPage.tsx","OK","OK","NOK","3","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\SlaDashboardController.php",""
"sla-policies","frontend/src/pages/os/SlaPoliciesPage.tsx","OK","OK","OK","4","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\SlaPolicyController.php",""
"standard-weights","frontend/src/pages/equipamentos/StandardWeightsPage.tsx","OK","NOK","NOK","7","NOK","OK","OK","OK","OK","","GET /standard-weights/constants; GET /standard-weights/expiring; DELETE /standard-weights/:id; PUT /standard-weights/:id; GET /standard-weights/export; POST /standard-weights; GET /standard-weights"
"stock","frontend/src/pages/estoque/InventoryPage.tsx","OK","NOK","NOK","7","NOK","OK","OK","OK","NOK","","POST /stock/inventories/:id/complete; GET /stock/inventories; POST /stock/inventories; POST /stock/inventories/:id/cancel; GET /stock/warehouses; PUT /stock/inventories/:id/items/:id; GET /stock/inventories/:id"
"stock","frontend/src/pages/estoque/KardexPage.tsx","OK","OK","OK","3","NOK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\ProductController.php","GET /stock/products/:id/kardex; GET /stock/warehouses"
"stock","frontend/src/pages/estoque/StockDashboardPage.tsx","OK","OK","NOK","2","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\StockController.php",""
