"Module","Pages","ApiPages","BackendRouteExists","ControllerCrudComplete","FrontendPageExists","ApiMappedCorrectly","ToastFeedback","LoadingState","EmptyState","PermissionConfigured","Overall","GapPages"
"frontend/src/pages/tech/tech-check","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechChecklistPage.tsx"
"frontend/src/pages/tech/tech-expense","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechExpensePage.tsx"
"frontend/src/pages/tech/tech-photo-annotation","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechPhotoAnnotationPage.tsx"
"frontend/src/pages/tech/tech-photos","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechPhotosPage.tsx"
"frontend/src/pages/tech/tech-signature","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechSignaturePage.tsx"
"frontend/src/pages/tech/tech-thermal-camera","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechThermalCameraPage.tsx"
"frontend/src/pages/tech/tech-voice-report","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechVoiceReportPage.tsx"
"fund-transfers","1","1","NOK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/financeiro/FundTransfersPage.tsx"
"hr","14","14","NOK","NOK","OK","NOK","NOK","OK","NOK","NOK","NOK","frontend/src/pages/rh/AccountingReportsPage.tsx; frontend/src/pages/rh/ClockAdjustmentsPage.tsx; frontend/src/pages/rh/ClockInPage.tsx; frontend/src/pages/rh/EmployeeDocumentsPage.tsx; frontend/src/pages/rh/GeofenceLocationsPage.tsx"
"import","1","1","OK","NOK","OK","OK","OK","OK","OK","OK","NOK","frontend/src/pages/importacao/ImportPage.tsx"
"inmetro","2","2","NOK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/inmetro/InmetroInstrumentsPage.tsx; frontend/src/pages/inmetro/InmetroLeadsPage.tsx"
"inventory","5","5","NOK","NOK","OK","NOK","NOK","OK","NOK","NOK","NOK","frontend/src/pages/estoque/InventoryCreatePage.tsx; frontend/src/pages/estoque/InventoryExecutionPage.tsx; frontend/src/pages/estoque/InventoryListPage.tsx; frontend/src/pages/inmetro/InmetroSealReportPage.tsx; frontend/src/pages/tech/TechSealsPage.tsx"
"invoices","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"notifications","1","1","OK","NOK","OK","OK","OK","OK","OK","OK","NOK","frontend/src/pages/notificacoes/NotificationsPage.tsx"
"payment-methods","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"payments","1","1","OK","NOK","OK","OK","OK","OK","OK","OK","NOK","frontend/src/pages/financeiro/PaymentsPage.tsx"
"permissions","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"portal","5","5","OK","NOK","OK","OK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/portal/PortalDashboardPage.tsx; frontend/src/pages/portal/PortalFinancialsPage.tsx; frontend/src/pages/portal/PortalQuotesPage.tsx; frontend/src/pages/portal/PortalServiceCallPage.tsx; frontend/src/pages/portal/PortalWorkOrdersPage.tsx"
"price-history","1","1","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/cadastros/PriceHistoryPage.tsx"
"products","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"profile","1","1","OK","NOK","OK","OK","OK","OK","NOK","NOK","NOK","frontend/src/pages/configuracoes/ProfilePage.tsx"
"quality","1","1","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/qualidade/QualityPage.tsx"
"quote-items","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"quotes","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"reconciliation-rules","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/financeiro/ReconciliationRulesPage.tsx"
"recurring-contracts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"reports","1","1","OK","NOK","OK","OK","NOK","OK","OK","NOK","NOK","frontend/src/pages/relatorios/ReportsPage.tsx"
"roles","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"schedules","1","1","OK","OK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/tecnicos/SchedulesPage.tsx"
"service-calls","4","4","OK","OK","OK","NOK","NOK","OK","OK","OK","NOK","frontend/src/pages/chamados/ServiceCallDetailPage.tsx; frontend/src/pages/chamados/ServiceCallEditPage.tsx; frontend/src/pages/chamados/TechnicianAgendaPage.tsx"
"service-calls-map","1","1","OK","OK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/chamados/ServiceCallMapPage.tsx"
"service-checklists","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"services","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"settings","1","1","OK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/configuracoes/SettingsPage.tsx"
"sla-dashboard","1","1","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/os/SlaDashboardPage.tsx"
"sla-policies","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"standard-weights","1","1","NOK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/equipamentos/StandardWeightsPage.tsx"
"stock","5","5","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/estoque/InventoryPage.tsx; frontend/src/pages/estoque/KardexPage.tsx; frontend/src/pages/estoque/StockDashboardPage.tsx; frontend/src/pages/estoque/StockIntelligencePage.tsx; frontend/src/pages/estoque/StockMovementsPage.tsx"
"stock-disposals","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/estoque/StockIntegrationPage.tsx"
"suppliers","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"tech","1","1","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/tech/TechWorkOrdersPage.tsx"
"technician","1","1","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/tech/TechWidgetPage.tsx"
"technician-cash","1","1","OK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/tecnicos/TechnicianCashPage.tsx"
"technicians","1","1","NOK","NOK","OK","NOK","OK","OK","NOK","NOK","NOK","frontend/src/pages/tech/TechWorkOrderDetailPage.tsx"
"tenants","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"time-entries","1","1","OK","OK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/tecnicos/TimeEntriesPage.tsx"
"users","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"warehouses","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/estoque/WarehousesPage.tsx"
"work-orders","3","3","OK","OK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/os/WorkOrderDetailPage.tsx"
